game,session,track,car,lap,start,end,time,length,valid
iRacing,1670273262,roadamerica full,Kia Optima,2,2022-12-05 21:50:19.458489+00:00,2022-12-05 21:52:39.689615+00:00,140.236,6408,True
iRacing,1670266040,roadamerica full,Kia Optima,3,2022-12-05 19:52:18.141110+00:00,2022-12-05 19:54:38.382170+00:00,140.274872,6409,True
iRacing,1670266040,roadamerica full,Kia Optima,2,2022-12-05 19:49:57.750595+00:00,2022-12-05 19:52:18.107627+00:00,140.370331,6408,True
iRacing,1670273262,roadamerica full,Kia Optima,4,2022-12-05 21:55:01.199132+00:00,2022-12-05 21:57:21.555771+00:00,140.399567,6409,True
iRacing,1670273262,roadamerica full,Kia Optima,9,2022-12-05 22:06:45.773507+00:00,2022-12-05 22:09:06.052551+00:00,140.46907,6408,True
Automobilista 2,1671645530,Cordoba:Cordoba_NATL,MINI Cooper S 1965 B,5,2022-12-21 18:05:36.025538+00:00,2022-12-21 18:06:48.039239+00:00,73.5875854,2276,True
Automobilista 2,1671645530,Cordoba:Cordoba_NATL,MINI Cooper S 1965 B,3,2022-12-21 18:03:04.613913+00:00,2022-12-21 18:04:16.613606+00:00,74.47603,2275,True
Automobilista 2,1671645530,Cordoba:Cordoba_NATL,MINI Cooper S 1965 B,1,2022-12-21 18:00:31.696649+00:00,2022-12-21 18:01:48.693180+00:00,77.53616,2277,True
Automobilista 2,1671645530,Cordoba:Cordoba_NATL,MINI Cooper S 1965 B,2,2022-12-21 18:01:48.827766+00:00,2022-12-21 18:03:04.456214+00:00,80.34357,2276,True
Automobilista 2,1671645530,Cordoba:Cordoba_NATL,MINI Cooper S 1965 B,4,2022-12-21 18:04:16.762319+00:00,2022-12-21 18:05:35.841726+00:00,83.29144,2273,True
iRacing,1670308697,oulton island,Mazda MX-5 Cup,1,2022-12-06 00:42:58.202409+00:00,2022-12-06 00:43:25.297171+00:00,27.1036377,3540,True
